remedy_id,symptom_id
Abrotanum [Abrot.],"BRUITS DANS LES OREILLES: vent, comme le bruit du."
Abrotanum [Abrot.],VENT: sensation de vent dans l’ oreille: sortant de l’ oreille.
Abrotanum [Abrot.],ƒCOULEMENT: aqueux.
Abrotanum [Abrot.],ƒPISTAXIS.
Abrotanum [Abrot.],"ƒPISTAXIS: plŽthorique, chez un patient. [3]"
Abrotanum [Abrot.],SƒCHERESSE: interne.
Abrotanum [Abrot.],COLORATION: bleu‰tre: yeux cernŽs.
Abrotanum [Abrot.],"DOULEURS, prosopalgie: gŽnŽral, en."
Abrotanum [Abrot.],"DOULEURS, prosopalgie: tiraillantes."
Abrotanum [Abrot.],Ä ƒRUPTION: comŽdons. ·
Abrotanum [Abrot.],Ä FACIéS: vieillot. ·
Abrotanum [Abrot.],FROIDEUR DE LA FACE.
Abrotanum [Abrot.],Ä PLISSEMENT. ·
Abrotanum [Abrot.],"VEINES, Dilatation des: front, du. [3]"
Abrotanum [Abrot.],"CHALEUR, Sensation de: matin, le."
Abrotanum [Abrot.],"DOULEURS: meurtrissure, ˆ type de."
Abrotanum [Abrot.],"DOULEURS: meurtrissure, ˆ type de: langue, de la."
Abrotanum [Abrot.],GOóT: anormal: sur.
Abrotanum [Abrot.],"GOóT: anormal: vase, de."
Abrotanum [Abrot.],"CARIES, dents creuses."
Abrotanum [Abrot.],"DOULEURS: dŽchirement, ˆ type de."
Abrotanum [Abrot.],DOULEURS: tiraillantes.
Abrotanum [Abrot.],"DOULEURS: tiraillantes: dŽchirement, avec sensation de."
Abrotanum [Abrot.],RACLEMENT DE GORGE.
Abrotanum [Abrot.],"DOULEURS: c™tŽs du cou, dans les."
Abrotanum [Abrot.],ANXIƒTƒ RESSENTIE DANS L’ ESTOMAC. [3]
Abrotanum [Abrot.],"APPƒTIT: augmentŽ, faim."
Abrotanum [Abrot.],"APPƒTIT: augmentŽ, faim: tenaillante, faim."
Abrotanum [Abrot.],APPƒTIT: manque d’ appŽtit.
Abrotanum [Abrot.],"APPƒTIT: vorace, faim canine, excessive."
Abrotanum [Abrot.],"Ä APPƒTIT: vorace, faim canine, excessive: Žmaciation, avec. ·"
Abrotanum [Abrot.],"Ä APPƒTIT: vorace, faim canine, excessive: marasme, avec. ·"
Abrotanum [Abrot.],BALLONNEMENT DE L’ ESTOMAC.
Abrotanum [Abrot.],"CHALEUR, BouffŽes de."
Abrotanum [Abrot.],"DESCENTE D’ ESTOMAC, Sensation de."
Abrotanum [Abrot.],"DƒSIR: lait, de: bouilli."
Abrotanum [Abrot.],"DƒSIR: pain, de."
Abrotanum [Abrot.],"DƒSIR: pain, de: bouilli dans le lait."
Abrotanum [Abrot.],"Ä DOULEURS: gŽnŽral, en. ·"
Abrotanum [Abrot.],"Ä DOULEURS: gŽnŽral, en: nuit, la. ·"
Abrotanum [Abrot.],"DOULEURS: bržlure, ˆ type de."
Abrotanum [Abrot.],"DOULEURS: bržlure, ˆ type de: soir, le."
Abrotanum [Abrot.],"Ä DOULEURS: bržlure, ˆ type de: nuit, la. ·"
Abrotanum [Abrot.],"Ä DOULEURS: coupure, ˆ type de. ·"
Abrotanum [Abrot.],"DOULEURS: coupure, ˆ type de: nuit, la."
Abrotanum [Abrot.],"DOULEURS: crampes, ˆ type de, d’ Žtreinte, de constriction."
Abrotanum [Abrot.],"DOULEURS: crampes, ˆ type de, d’ Žtreinte, de constriction: nuit, la."
Abrotanum [Abrot.],"DOULEURS: meurtrissure, ˆ type de, comme apr s avoir ŽtŽ battu, sensibilitŽ de l’ estomac ˆ la pression: soir, le."
Abrotanum [Abrot.],DOULEURS: piquantes.
Abrotanum [Abrot.],"DOULEURS: rongement, ˆ type de."
Abrotanum [Abrot.],"DOULEURS: rongement, ˆ type de: nuit, la."
Abrotanum [Abrot.],"ƒRUCTATIONS: gŽnŽral, en: soir, le."
Abrotanum [Abrot.],"ƒRUCTATIONS: sure, d’ odeur."
Abrotanum [Abrot.],"ƒRUCTATIONS: vide, ˆ: soir, le."
Abrotanum [Abrot.],"FROID, Sensation de."
Abrotanum [Abrot.],"INDIGESTION, dans cette rubrique sont inclus les troubles apr s absorption de substances non prŽcisŽes."
Abrotanum [Abrot.],"PENDANT, Sensation d’ estomac, rel‰chŽ."
Abrotanum [Abrot.],"VIDE, Sensation de, faiblesse, malaise, rel‰chement, faim."
Abrotanum [Abrot.],Ä BALLONNEMENT DE L’ ABDOMEN. ·
Abrotanum [Abrot.],"CHALEUR, Sensation de."
Abrotanum [Abrot.],"DOULEURS: gŽnŽral (en) sourdes: nuit, la."
Abrotanum [Abrot.],"DOULEURS: gŽnŽral (en) sourdes: hypocondres, dans les."
Abrotanum [Abrot.],"Ä DOULEURS: crampes, ˆ type de, d’ Žtreinte. ·"
Abrotanum [Abrot.],Ä ƒCOULEMENT OMBILICAL. ·
Abrotanum [Abrot.],ƒCOULEMENT OMBILICAL: de liquide sanguinolent. [3]
Abrotanum [Abrot.],"FOIE ET A LA RƒGION DU FOIE, Localisation au."
Abrotanum [Abrot.],"RATE, Maladies de la."
Abrotanum [Abrot.],"RƒTRACTION: abdomen, de l’: sensation de rŽtraction."
Abrotanum [Abrot.],"TRESSAILLEMENT ET SECOUSSES: inguinale, dans la rŽgion."
Abrotanum [Abrot.],"TRESSAILLEMENT ET SECOUSSES: inguinale, dans la rŽgion: se propageant: dos, jusqu’ au."
Abrotanum [Abrot.],BESOIN D’ ALLER A LA SELLE.
Abrotanum [Abrot.],BESOIN D’ ALLER A LA SELLE: frŽquent.
Abrotanum [Abrot.],BESOIN D’ ALLER A LA SELLE: selle: pendant la selle.
Abrotanum [Abrot.],Ä CONSTIPATION. ·
Abrotanum [Abrot.],"Ä CONSTIPATION: diarrhŽe, alternant avec de la. ·"
Abrotanum [Abrot.],"DIARRHƒE: nuit, la."
Abrotanum [Abrot.],DIARRHƒE: amŽlioration de tous les sympt™mes par la survenue d’ une diarrhŽe. [3]
Abrotanum [Abrot.],HƒMORROìDES.
Abrotanum [Abrot.],HƒMORROìDES: externes.
Abrotanum [Abrot.],"HƒMORROìDES: rhumatisme, apr s la rŽmission du."
Abrotanum [Abrot.],Ä HƒMORROìDES: saignement: qui saignent: d s que le rhumatisme va mieux. ·
Abrotanum [Abrot.],"HƒMORROìDES: toucher, aggravation au."
Abrotanum [Abrot.],VERS: oxyures.
Abrotanum [Abrot.],"LIENTƒRIQUES, contenant des aliments ˆ demi digŽrŽs."
Abrotanum [Abrot.],"BESOIN D’ URINER: selle, apr s la."
Abrotanum [Abrot.],"MICTION: incompl te: la vessie est pleine, il a besoin d’ uriner, mais l’ urine est peu abondante."
Abrotanum [Abrot.],"DOULEURS: gŽnŽral, en: rŽgion des reins, dans la."
Abrotanum [Abrot.],"DOULEURS: meurtrissure, ˆ type de: rŽgion des reins, dans la."
Abrotanum [Abrot.],"ULCƒRATION: mŽat, du."
Abrotanum [Abrot.],ABONDANCE: peu abondante.
Abrotanum [Abrot.],"DOULEURS: testicules, des."
Abrotanum [Abrot.],"GONFLEMENT: testicules, des: oreillons, provoquŽ par les."
Abrotanum [Abrot.],HYDROCéLE.
Abrotanum [Abrot.],"Ä HYDROCéLE: Žruption, apr s la suppression d’ une. ·"
Abrotanum [Abrot.],"Ä HYDROCéLE: gar on, chez un. ·"
Abrotanum [Abrot.],Ä MƒTASTASE OURLIENNE. ·
Abrotanum [Abrot.],"DOULEURS: ovaires, des: gauche, de l’ ovaire."
Abrotanum [Abrot.],"DOULEURS: ovaires, des: irradiant: dos: jusqu’ au dos."
Abrotanum [Abrot.],"DOULEURS: bržlure, ˆ type de: ovaires, des."
Abrotanum [Abrot.],"DOULEURS: bržlure, ˆ type de: ovaires, des: gauche, de l’ ovaire."
Abrotanum [Abrot.],"DOULEURS: dŽchirement, ˆ type de: ovaires, des."
Abrotanum [Abrot.],"DOULEURS: piquantes comme par des aiguilles: ovaires, des."
Abrotanum [Abrot.],"DOULEURS: piquantes comme par des aiguilles: ovaires, des: gauche, de l’ ovaire."
Abrotanum [Abrot.],"RéGLES: douloureuses, dysmŽnorrhŽe."
Abrotanum [Abrot.],Ä RéGLES: suppression des r gles. ·
Abrotanum [Abrot.],VOIX: enrouŽe: soudainement.
Abrotanum [Abrot.],VOIX: faible.
Abrotanum [Abrot.],ANXIEUSE.
Abrotanum [Abrot.],DIFFICILE.
Abrotanum [Abrot.],"Ä DIFFICILE: rhumatisme cardiaque, au cours d’ un. ·"
Abrotanum [Abrot.],"Ä GæNƒE, emp chŽe. ·"
Abrotanum [Abrot.],"DOULEURS: gŽnŽral, en: mouvement: aggravation par le mouvement."
Abrotanum [Abrot.],"Ä DOULEURS: gŽnŽral, en: rhumatismale, d’ origine. ·"
Abrotanum [Abrot.],"Ä DOULEURS: gŽnŽral, en: coeur: du coeur. ·"
Abrotanum [Abrot.],"Ä DOULEURS: gŽnŽral, en: coeur: du coeur: rhumatismale, d’ origine. ·"
Abrotanum [Abrot.],"DOULEURS: gŽnŽral, en: c™tŽs de la poitrine, des: droit, du c™tŽ."
Abrotanum [Abrot.],"DOULEURS: bržlure, ˆ type de: c™tŽs de la poitrine, des: droit, du c™tŽ."
Abrotanum [Abrot.],"DOULEURS: coupure, douleurs soudaines et vives ˆ type de: coeur: du coeur."
Abrotanum [Abrot.],"Ä DOULEURS: piquantes comme par des aiguilles: coeur, du. ·"
Abrotanum [Abrot.],"DOULEURS: piquantes comme par des aiguilles: c™tŽs de la poitrine, des: droit, du c™tŽ."
Abrotanum [Abrot.],"DOULEURS: tiraillantes: mouvement, provoquŽes par le."
Abrotanum [Abrot.],"Ä INFLAMMATION: coeur, du: endocardite. ·"
Abrotanum [Abrot.],INFLAMMATION: pleurŽsie.
Abrotanum [Abrot.],"DOULEURS: dos en gŽnŽral, dans le: apr s-midi, l’."
Abrotanum [Abrot.],"DOULEURS: dos en gŽnŽral, dans le: rŽveille, quand il se."
Abrotanum [Abrot.],"DOULEURS: dos en gŽnŽral, dans le: cervicale, dans la rŽgion."
Abrotanum [Abrot.],"DOULEURS: dos en gŽnŽral, dans le: lombaire, dans la rŽgion: irradiant: testicules, jusqu’ aux."
Abrotanum [Abrot.],"DOULEURS: dos en gŽnŽral, dans le: sacrŽe, dans la rŽgion."
Abrotanum [Abrot.],"DOULEURS: faiblesse paralytique, ˆ type de."
Abrotanum [Abrot.],"DOULEURS: faiblesse paralytique, ˆ type de: rŽveille, quand il se."
Abrotanum [Abrot.],DOULEURS: sourdes.
Abrotanum [Abrot.],"DOULEURS: sourdes: apr s-midi, l’."
Abrotanum [Abrot.],"FAIBLESSE DANS LA COLONNE VERTƒBRALE, Sensation de fatigue ou de."
Abrotanum [Abrot.],"Ä ATROPHIE: infŽrieur, du membre. ·"
Abrotanum [Abrot.],"Ä ATROPHIE: jambe, de la. ·"
Abrotanum [Abrot.],ENGELURES.
Abrotanum [Abrot.],"ENGELURES: pieds, des."
Abrotanum [Abrot.],ENGOURDISSEMENT.
Abrotanum [Abrot.],"ENGOURDISSEMENT: supŽrieur, du membre."
Abrotanum [Abrot.],"ENGOURDISSEMENT: main, de la."
Abrotanum [Abrot.],"ENGOURDISSEMENT: doigts, des."
Abrotanum [Abrot.],"ENGOURDISSEMENT: pied, du."
Abrotanum [Abrot.],FAIBLESSE.
Abrotanum [Abrot.],"FAIBLESSE: supŽrieurs, des membres."
Abrotanum [Abrot.],"FAIBLESSE: genou, du."
Abrotanum [Abrot.],"FAIBLESSE: jambe, de la: soir, le."
Abrotanum [Abrot.],"FAIBLESSE: cheville, de la."
Abrotanum [Abrot.],"FROIDEUR: doigts, des: bout des doigts, du."
Abrotanum [Abrot.],"FROIDEUR: pieds, des."
Abrotanum [Abrot.],"Ä GONFLEMENT: gonflement: articulations, des. ·"
Abrotanum [Abrot.],"IMPATIENCES: supŽrieurs, dans les membres: nuit, la: pendant le sommeil."
Abrotanum [Abrot.],"LIEN, Sensation de: supŽrieur, comme si le membre: Žtait liŽ avec une corde."
Abrotanum [Abrot.],"MALADRESSE: main, de la: tomber les objets, il laisse."
Abrotanum [Abrot.],"MALADRESSE: main, de la: tomber les objets, il laisse: il l‰che les r nes quand il m ne une voiture."
Abrotanum [Abrot.],NODOSITƒS: arthritiques.
Abrotanum [Abrot.],PARALYSIE.
Abrotanum [Abrot.],Ä PARALYSIE: sensation de paralysie. ·
Abrotanum [Abrot.],"Ä PARALYSIE: supŽrieur, du membre: sensation de paralysie. ·"
Abrotanum [Abrot.],"Ä PARALYSIE: infŽrieur, du membre. ·"
Abrotanum [Abrot.],"PARALYSIE: infŽrieur, du membre: droit."
Abrotanum [Abrot.],"Ä PARALYSIE: genou, du: cheville, de la. ·"
Abrotanum [Abrot.],PARƒSIE.
Abrotanum [Abrot.],"PARƒSIE: matin, le, au rŽveil."
Abrotanum [Abrot.],"PARƒSIE: articulations, des."
Abrotanum [Abrot.],"PARƒSIE: supŽrieur, du membre."
Abrotanum [Abrot.],"PARƒSIE: supŽrieur, du membre: matin, le: au rŽveil."
Abrotanum [Abrot.],"PARƒSIE: supŽrieur, du membre: rŽveille, quand il se."
Abrotanum [Abrot.],"PARƒSIE: Žpaule, de l’."
Abrotanum [Abrot.],"PARƒSIE: Žpaule, de l’: matin, le, au rŽveil."
Abrotanum [Abrot.],"PARƒSIE: bras, du."
Abrotanum [Abrot.],"PARƒSIE: bras, du: circule, quand il."
Abrotanum [Abrot.],"PARƒSIE: main, de la."
Abrotanum [Abrot.],"PARƒSIE: main, de la: ˆ 10 h du matin."
Abrotanum [Abrot.],"PARƒSIE: hanche, de la."
Abrotanum [Abrot.],"PARƒSIE: genou, du."
Abrotanum [Abrot.],"PARƒSIE: genou, du: matin, le."
Abrotanum [Abrot.],"PARƒSIE: cheville, de la."
Abrotanum [Abrot.],"PARƒSIE: pied, du."
Abrotanum [Abrot.],PRURIT.
Abrotanum [Abrot.],RAIDEUR.
Abrotanum [Abrot.],"RAIDEUR: articulations, des."
Abrotanum [Abrot.],"Ä GƒNƒRAL, En. ·"
Abrotanum [Abrot.],"Ä GƒNƒRAL, En: rhumatismale, d’ origine. ·"
Abrotanum [Abrot.],"GƒNƒRAL, En: rhumatismale, d’ origine: alternant: hŽmorro•des, avec des."
Abrotanum [Abrot.],"Ä GƒNƒRAL, En: rhumatismale, d’ origine: diarrhŽe: apr s suppression de la diarrhŽe. ·"
Abrotanum [Abrot.],"Ä GƒNƒRAL, En: rhumatismale, d’ origine: hŽmorro•des, apr s suppression des. ·"
Abrotanum [Abrot.],"Ä ARTICULATIONS, Des: goutte, dues ˆ la. ·"
Abrotanum [Abrot.],"ARTICULATIONS, Des: rhumatismale, d’ origine."
Abrotanum [Abrot.],"SUPƒRIEUR, Du membre."
Abrotanum [Abrot.],"SUPƒRIEUR, Du membre: mouvement: amŽlioration par le mouvement."
Abrotanum [Abrot.],"SUPƒRIEUR, Du membre: rŽveille, quand il se."
Abrotanum [Abrot.],"SUPƒRIEUR, Du membre: rhumatismale, d’ origine."
Abrotanum [Abrot.],"ƒPAULE, De l’."
Abrotanum [Abrot.],"ƒPAULE, De l’: nuit, la."
Abrotanum [Abrot.],"ƒPAULE, De l’: rŽveille, quand il se."
Abrotanum [Abrot.],"ƒPAULE, De l’: irradiant: coude, jusqu’ au."
Abrotanum [Abrot.],"BRAS, Du."
Abrotanum [Abrot.],"BRAS, Du: apr s-midi, l’."
Abrotanum [Abrot.],"COUDE, Du."
Abrotanum [Abrot.],"COUDE, Du: matinŽe, pendant la."
Abrotanum [Abrot.],"MAIN, De la."
Abrotanum [Abrot.],"MAIN, De la: soir, le."
Abrotanum [Abrot.],"INFƒRIEURS, Des membres."
Abrotanum [Abrot.],"HANCHE, De la."
Abrotanum [Abrot.],"HANCHE, De la: apr s-midi, l’."
Abrotanum [Abrot.],"HANCHE, De la: rhumatismale, d’ origine."
Abrotanum [Abrot.],"CUISSE, De la."
Abrotanum [Abrot.],"GENOU, Du."
Abrotanum [Abrot.],"GENOU, Du: matin, le."
Abrotanum [Abrot.],"GENOU, Du: apr s-midi, l’."
Abrotanum [Abrot.],"JAMBE, De la."
Abrotanum [Abrot.],"JAMBE, De la: rŽveille, quand il se."
Abrotanum [Abrot.],"CHEVILLE, De la."
Abrotanum [Abrot.],"CHEVILLE, De la: externe, au niveau de la face."
Abrotanum [Abrot.],"PIED, Du."
Abrotanum [Abrot.],"PIED, Du: mouvement: amŽlioration par le mouvement."
Abrotanum [Abrot.],"PIED, Du: rŽveille, quand il se."
Abrotanum [Abrot.],"BRóLURE, A type de."
Abrotanum [Abrot.],"BRóLURE, A type de: articulations, des."
Abrotanum [Abrot.],"MEURTRISSURE, A type de."
Abrotanum [Abrot.],"MEURTRISSURE, A type de: articulations, des."
Abrotanum [Abrot.],"MEURTRISSURE, A type de: articulations, des: matin, le: rŽveil, au."
Abrotanum [Abrot.],"MEURTRISSURE, A type de: Žpaule, de l’."
Abrotanum [Abrot.],"MEURTRISSURE, A type de: Žpaule, de l’: matin, le: rŽveil, au."
Abrotanum [Abrot.],"MEURTRISSURE, A type de: main, de la."
Abrotanum [Abrot.],"MEURTRISSURE, A type de: hanche, de la."
Abrotanum [Abrot.],"MEURTRISSURE, A type de: hanche, de la: irradiant: genou, jusqu’ au."
Abrotanum [Abrot.],"MEURTRISSURE, A type de: genou, du: soir, le."
Abrotanum [Abrot.],PIQUANTES.
Abrotanum [Abrot.],"PIQUANTES: bras, du."
Abrotanum [Abrot.],"PIQUANTES: doigts, des: bout des doigts, du."
Abrotanum [Abrot.],"PIQUANTES: cheville, de la."
Abrotanum [Abrot.],"SOURDES: Žpaule, de l’."
Abrotanum [Abrot.],"SOURDES: Žpaule, de l’: irradiant: coude, jusqu’ au."
Abrotanum [Abrot.],"SOURDES: bras, du."
Abrotanum [Abrot.],"SOURDES: bras, du: circule, quand il."
Abrotanum [Abrot.],"SOURDES: doigts, des."
Abrotanum [Abrot.],"SOURDES: doigts, des: index, de l’."
Abrotanum [Abrot.],"TIRAILLANTES: cheville, de la."
Abrotanum [Abrot.],INSOMNIE.
Abrotanum [Abrot.],"POSITION PENDANT LE SOMMEIL: abdomen, sur l’."
Abrotanum [Abrot.],"RƒPARATEUR, Peu."
